,Product Name,Price,Product Link,Product Image,Items Sold
24,Acer Aspire 3 A314-35-C4D2 14 Inches FHD Laptop | Celeron N5100 | 8GB RAM | 256GB SSD Storage,$648.00,https://www.lazada.sg/products/acer-aspire-3-a314-35-c4d2-14-inches-fhd-laptop-celeron-n5100-8gb-ram-256gb-ssd-storage-i2029673659-s11074024311.html?search=1&freeshipping=1,https://sg-test-11.slatic.net/p/912534f43b94a1b64db00f83856a2a29.jpg,No Information
25,[FREE 32GB RAM][Free Logitech Headset] Lenovo Legion 5 Pro 82JQ00ADSB Gaming Laptop (Ryzen 7 5800H/RTX 3060/W10/3Y)(Exclusive),"$2,419.00",https://www.lazada.sg/products/free-32gb-ramfree-logitech-headset-lenovo-legion-5-pro-82jq00adsb-gaming-laptop-ryzen-7-5800hrtx-3060w103yexclusive-i1823068040-s10902764961.html?search=1&freeshipping=1,https://sg-test-11.slatic.net/p/8134eec7fa09415db53ef760821ffcd8.jpg,No Information
26,[Windows 11] Acer Swift 5 SF514-55T-552T 14 Inches FHD IPS Touch Display Laptop | 11th Gen Intel i5-1135G7 processor,"$1,798.00",https://www.lazada.sg/products/windows-11-acer-swift-5-sf514-55t-552t-14-inches-fhd-ips-touch-display-laptop-11th-gen-intel-i5-1135g7-processor-i1400454459-s6337260361.html?search=1&freeshipping=1,https://sg-test-11.slatic.net/p/129a620b64058168e1de70c3ad78b05a.jpg,14 sold
27,[AMD Ryzen 5000 Series] Acer Aspire 5 A515-45-R5NH 15.6 Inches FHD IPS Laptop | Ryzen 5 5500U Processor | 16GB RAM | 512GB SSD,$998.00,https://www.lazada.sg/products/amd-ryzen-5000-series-acer-aspire-5-a515-45-r5nh-156-inches-fhd-ips-laptop-ryzen-5-5500u-processor-16gb-ram-512gb-ssd-i1701284508-s8256614364.html?search=1&freeshipping=1,https://sg-test-11.slatic.net/p/c00300ca1ecf15798eba53fe5024f431.jpg,17 sold
28,[FREE 32GB RAM][Free Logitech Headset]Lenovo Legion 5 Pro 82JQ00AESB Gaming Laptop (Ryzen 7 5800H/RTX 3070/W10/3Y)(Exclusive),"$2,849.00",https://www.lazada.sg/products/free-32gb-ramfree-logitech-headsetlenovo-legion-5-pro-82jq00aesb-gaming-laptop-ryzen-7-5800hrtx-3070w103yexclusive-i1686172107-s10902903675.html?search=1&freeshipping=1,https://sg-test-11.slatic.net/p/30a30eba2ee6a0d74f0da3f608d41df7.jpg,No Information
29,"HUAWEI MateBook D15 Laptop | 8GB RAM / 512GB SSD / 15.6"" FullView Display / Intel i5 Processor",$948.00,https://www.lazada.sg/products/huawei-matebook-d15-laptop-8gb-ram-512gb-ssd-156-fullview-display-intel-i5-processor-i1140682487-s4448168596.html?search=1&freeshipping=1,https://sg-test-11.slatic.net/p/6466116ffecc44fba1b54bf2d9fffe02.jpg,21 sold
30,"Acer Aspire 5 A514-54 (Pink/Gold) - 14"" HD Laptop with Latest 11th Gen Processor",$748.00,https://www.lazada.sg/products/acer-aspire-5-a514-54-pinkgold-14-hd-laptop-with-latest-11th-gen-processor-i1533482803-s7176096156.html?search=1&freeshipping=1,https://sg-test-11.slatic.net/p/9d2d4f63dac308f83d11117c6825f63d.jpg,15 sold
31,Acer Swift 3 SF314-43-R0QF 14-Inch FHD IPS 45%NTSC Thin and Light Laptop | Ryzen 3 5300U | 8GB RAM,$998.00,https://www.lazada.sg/products/acer-swift-3-sf314-43-r0qf-14-inch-fhd-ips-45ntsc-thin-and-light-laptop-ryzen-3-5300u-8gb-ram-i1904279787-s10178160282.html?search=1&freeshipping=1,https://sg-test-11.slatic.net/p/436d30d336e531a6d109ddd134b9e83e.jpg,No Information
32,"[2021 Model] Acer Swift 3 SF314-59-53R3 14"" FHD IPS Thin and Light Weight Laptop Intel 11th Gen i5-1135G7 Processor","$1,298.00",https://www.lazada.sg/products/2021-model-acer-swift-3-sf314-59-53r3-14-fhd-ips-thin-and-light-weight-laptop-intel-11th-gen-i5-1135g7-processor-i427100824-s9664174469.html?search=1&freeshipping=1,https://sg-test-11.slatic.net/p/eb1ed13697af4f958b5511ca45574f25.jpg,25 sold
33,[New Model][NVIDIA RTX 3060 and Intel i7-11800H] Acer Nitro 5 AN515-57-74P3 15.6 inch FHD IPS Gaming Laptop,"$1,998.00",https://www.lazada.sg/products/new-modelnvidia-rtx-3060-and-intel-i7-11800h-acer-nitro-5-an515-57-74p3-156-inch-fhd-ips-gaming-laptop-i1692741621-s8202312282.html?search=1&freeshipping=1,https://sg-test-11.slatic.net/p/61c83f092e8deff42fa735ac43d3c6b5.jpg,6 sold
34,Acer Swift 3 SF314-59-34LV/33L2 14 Inch FHD IPS laptop with 11th Gen Intel Core processor | Intel AX WLAN,$998.00,https://www.lazada.sg/products/acer-swift-3-sf314-59-34lv33l2-14-inch-fhd-ips-laptop-with-11th-gen-intel-core-processor-intel-ax-wlan-i1632284796-s7678496813.html?search=1&freeshipping=1,https://sg-test-11.slatic.net/p/c79e09b83450867c181e8f68de1702a5.jpg,8 sold
35,Acer Aspire 3 A315-35-C1GL (Silver) 15.6 Inch FHD Laptop with 128GB SSD and 1 Year Preloaded MS Office 365 personal,$698.00,https://www.lazada.sg/products/acer-aspire-3-a315-35-c1gl-silver-156-inch-fhd-laptop-with-128gb-ssd-and-1-year-preloaded-ms-office-365-personal-i1140704141-s4448280631.html?search=1&freeshipping=1,https://sg-test-11.slatic.net/p/72e16449c3614e6e59ef4a403fe6483f.jpg,12 sold
36,[Ryzen 5 5500U] Acer Swift 3 SF314-43-R21B 14-Inch FHD IPS 72% NTSC Thin and Light Laptop | Ryzen 5 5500U Processor | 8GB RAM,"$1,198.00",https://www.lazada.sg/products/ryzen-5-5500u-acer-swift-3-sf314-43-r21b-14-inch-fhd-ips-72-ntsc-thin-and-light-laptop-ryzen-5-5500u-processor-8gb-ram-i1794908734-s9443040662.html?search=1&freeshipping=1,https://sg-test-11.slatic.net/p/d6c4a3de493e0e4edb6ce73543076899.jpg,No Information
37,"[NEW MODEL] Acer Aspire 5 A515-56G-586Y - 15.6"" FHD IPS Laptop with Latest 11th Gen i5-1135G7 Processor and NVIDIA MX350 Graphics","$1,098.00",https://www.lazada.sg/products/new-model-acer-aspire-5-a515-56g-586y-156-fhd-ips-laptop-with-latest-11th-gen-i5-1135g7-processor-and-nvidia-mx350-graphics-i1269706794-s5230952150.html?search=1&freeshipping=1,https://sg-test-11.slatic.net/p/092a55184d16bcc1030257d573469617.jpg,7 sold
38,Acer NEW Spin 3 SP313-51N-56FQ 13.3 inch (2560x1600) IPS Touch Screen Convertible Laptop with Latest 11 Gen Intel Core Processor,"$1,398.00",https://www.lazada.sg/products/acer-new-spin-3-sp313-51n-56fq-133-inch-2560x1600-ips-touch-screen-convertible-laptop-with-latest-11-gen-intel-core-processor-i1682724702-s8126807246.html?search=1&freeshipping=1,https://sg-test-11.slatic.net/p/30a1ce72efb2638eac4ebfd6411382db.jpg,5 sold
39,Acer Aspire 3 A314-35-P5HD 14 Inches FHD Laptop | Pentium N6000 | 8GB RAM | 512GB SSD Storage,$698.00,https://www.lazada.sg/products/acer-aspire-3-a314-35-p5hd-14-inches-fhd-laptop-pentium-n6000-8gb-ram-512gb-ssd-storage-i1648797902-s7762739149.html?search=1&freeshipping=1,https://sg-test-11.slatic.net/p/dff5ebec323db5abbce1d3cb51dc52b9.jpg,16 sold
